#,Job Title,ID,Employer,Vacancies,Estimated Start Date,Estimated End Date,Internship/Project Description,Learning Outcomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,College Intern - Data Science (Remote),67596,HP SINGAPORE PTE. LTD,3,"Jun 1, 21","Dec 27, 21","
Team Description:
This position is with the Data Analytics team within the Smart Manufacturing Applications and Research Center (SMARC). SMARC is a center of innovation enabling HP’s Smart Factory of the Future. The Data Analytics team’s main purpose is to harness big data generated from our manufacturing, supply chain and customers to develop breakthrough models and solutions that helps improve production quality, increase efficiency and generates cost savings.

Intern Responsibilities:
Intern will be involved in the end-to-end application of the data science process to a real-life business problem.

The intern will be:

1.      Building solutions to track, and visualize manufacturing data
2.      Generating deep insights through data modelling and analysis
3.      Turning insights into solutions to improve KPIs
4.      Learning from an enterprising team of Data Scientists

Technical Skills and Competencies Intern will apply/learn:
1.      Problem framing and business understanding
2.      Data extraction, processing and exploration
3.      Modelling techniques used for Data Science problems
4.      Python or R coding
5.      Presentation of insights to different audiences
","Technical Skills and Competencies Intern will apply/learn:
1.      Problem framing and business understanding
2.      Data extraction, processing and exploration
3.      Modelling techniques used for Data Science problems
4.      Python or R coding
5.      Presentation of insights to different audiences ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Junior Data Scientist,66426,Rio Tinto,2,"May 3, 21","Dec 31, 21","This role is a great opportunity to be involved in the delivery of analytics proof of concept and play an active role in the execution of the data science projects.

As part of the data science team, you will:

Support the data scientists to code algorithm using machine learning approaches and other statistical approaches to support project such as predictions of sales, prices, etc.
Work with the Data Engineer to construct appropriate data model and data feeds and analysing the data.
Help design visualisation that includes graphs and relevant information based on the results of the analytics. Those visualisation will be delivered to the business users.

What you will need for this role

Relevant Course: Computer Science / Computer Engineering or any relevant courses
Ability to code in Python
Ability to filter, analyse and validate complex and dynamic material and synthesise into articulate requirements
Understanding of sophisticate data analysis techniques across various data types.
Ability to collaborate within a team and with stakeholders.
Detail oriented
Ability to work independently with urgency and deadlines
Good organisational skills for multi-tasking and prioritising workloads

It will also be beneficial if you have:

Knowledge of data sciences techniques and processes and strong interest in data science
Knowledge of SQL query and other relevant experience with database querying.
Knowledge of collaboration tools for development and coding","    Understand the project life cycle to develop a proof of concept machine learning model to the business.
    Learn how to deploy solutions to the cloud environment such as AWS.  
    Applying statistical modeling on real life data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Data Science_AMTNP,68454,GlaxoSmithKline / Glaxo Wellcome Manufacturing Pte Ltd,1,"Jul 5, 21","Dec 31, 21","Modern manufacturing is no longer just about finding ways to operate faster while reducing expenses; it is also about doing so in a data-driven and intelligent way. With technologies such as cloud and data analytics, the vast quantities of data generated can be processed and translated into actionable insights to diagnose problems and identify opportunities for improvement. With machine learning, highly intelligent systems can assist the workforce in optimising processes, predicting equipment failures and changes in demand patterns. At their best, these intelligent systems can also autonomously make decisions and respond to changing internal and external business needs.

The site goals are to “Improve the yield efficiency campaign over campaign”, to “improve cost of goods”, and to “make Jurong site the best New Product Introduction (NPI) site in the manufacturing supply chain”.

As a drive in this direction and to assist the site achieve these goals, Data Platform and Data Intelligent Services platform were built by the IT and Advanced Manufacturing Technologies teams. These platforms are managed and used by IT, Data Engineers, Data Scientists/Analysts and intended to be accessible and user-friendly to the site employees so they can perform their own process investigations.

Project scope

For this project, you will be supporting the data scientists and working within the Data Analytics team to structure and manage historical operational data in a way that will help solve pharmaceutical manufacturing problems. You will help compiling findings and recommendations into reports. You will need to have some basic skill set in using Python and / or Matlab (SQL is a plus).","The student will learn about Pharma Primary Manufacturing and the introduction of novel, advanced technologies such as Machine Learning to satisfy business value drivers. The student will acquire knowledge on the interconnectivity across operational, engineering and quality functions to deliver the new technology solution for improving processes and product quality attributes. The student will be immersed in the site activities and understand how compliance to the Key Performance Indicators (KPIs) is critical to the site.
The student will be able to apply his/her knowledge of programming, data/computer sciences and analytics and learn soft skills in engaging different stakeholders from shop floor to senior management to deliver a project.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Digital Performance Management_NPAMT,68455,GlaxoSmithKline / Glaxo Wellcome Manufacturing Pte Ltd,1,"Jul 5, 21","Dec 31, 21","In alignment with the digitalisation, data and analytics strategy, an opportunity exists to enhance performance monitoring through development of interactive digital dashboards to trend key performance indicators (KPIs). Performance dashboards are used extensively during Tier review meetings; data displayed focuses on high level KPI’s for Tier 4 meetings, with associated drill-down data relevant to specific functions required at the lower level Tiers. It is therefore critical that dashboards offer a high level of connectivity and adaptability to enable their use across the tier meeting requirements.

Project scope
The scope of the project will be conducted in two-phases;
• Phase I – Digitisation; Using PSC Tech solution such as Power BI or other dashboarding tools to visualize new dashboard and / or migrating of existing dashboards to Power BI platform.
• Phase II – Intelligence; Incorporate the real-time monitoring & data analytics and upgrade these to obtain maximum benefit.
All site KPI boards are in scope of digitalisation, including development of drill down screens to enhance inter tier data connectivity, adapted for functional needs and including integrated, automated data collection and analysis.

Project deliverables
Phase I
• Create and deploy new standard performance board
• Migration of existing dashboard to Power BI platform
• Purchase of digital screens.
• Roll out to approximately new digital dash boards.
Phase II
• Development of performance monitoring dashboard template with automated data extraction and analysis.
o Student will be accountable for working with key contacts from GPS and the functional lines to produce a standard dashboard template to collect and analyse KPI data.
• Upgrade each functions dashboard.

Student will be responsible for working with function representatives to adapt the standard template for their requirements.

Learning outcome
The student will learn about Pharma Primary Manufacturing. The student will acquire knowledge on the interconnectivity across operational functions to deliver the Active Pharmaceutical Ingredients (API). The student will be immersed in the site activities and understand how compliance to the Key Performance Indicators (KPIs) is critical to the site.
The student will be able to apply his/her knowledge of data sciences and analytics and manipulate data from various systems and platforms.","The student will learn about Pharma Primary Manufacturing. The student will acquire knowledge on the interconnectivity across operational functions to deliver the Active Pharmaceutical Ingredients (API). The student will be immersed in the site activities and understand how compliance to the Key Performance Indicators (KPIs) is critical to the site.
The student will be able to apply his/her knowledge of data sciences and analytics and manipulate data from various systems and platforms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Digital Twin_NPAMT,68465,GlaxoSmithKline / Glaxo Wellcome Manufacturing Pte Ltd,1,"Jul 5, 21","Dec 31, 21","Opportunity Statement

Dolutegravir (or “DTG”) was first approved by the United States Food and Drug Administration in 2013. It a critically important antiretroviral medicine that is set to become the backbone of many countries HIV programmes. It is therefore very important to minimise the cost of DTG and make it more accessible to a wider group of patients.

The recent Dolutegravir Stage-1 Campaign 4 at Jurong ran from 14 -Feb-19 to 06 -Mar -19 and 13 batches were manufactured successfully. The typical constraints of the DTG process is safety, quality performance, and adherence to ATSP. Despite a small campaign size of 13 batches (compare to 38 batches campaign previously), the Campaign Result was a great success and the Yield performance record of 73.21%, was observed.

The long-term Objective of the site is to “Improve the yield efficiency campaign over campaign, to improve the cost of goods for Dolutegravir, and to make Jurong site the heart of HIV supply chain”.

As a drive in this direction and to assist the site achieve this goal, a low-cost, safe and validated Digital Twin approach would be pursued. A Digital Twin in brief is a simulated representation of physical plant assets and underlying chemical/physical processes within them (i.e. chemical reactions, separation processes, heat transfer, process equipment, instrumentation and controls). It understands, troubleshoots, predicts and optimizes performance to achieve improved business outcomes.

Project scope

For this project, one of the key DTG process unit will be chosen as a test-bed to build digital twin, and the aim would be the model to closely resemble the real unit on site. The model would be reconciled with the plant data to closely mimic the actual operating unit op on site, literally acting as a live (or offline) Twin. The twin model will be validated with plant data (static and dynamic data), optimized and examined for process control studies to minimize variability in the outputs (CQAs).

Learning outcome

The Twin if successful can also support as a key validation tool to facilitate safe, low-cost testing of change orders and help run unit/plant close to optimal solutions. The twin model if desired can be tasked to connect with live plant data and used for monitoring and quality adherence tasks. The long-term objective would be to use the twin model that can be used for OPEX, CAPEX and Maintenance initiatives.
The student will learn about Pharma Primary Manufacturing. The student will acquire knowledge on the interconnectivity across operational, engineering and quality functions to deliver the new technology solution for improving the reliability of equipment for plant operation. The student will be immersed in the site activities and understand how compliance to the Key Performance Indicators (KPIs) is critical to the site.
The student will be able to apply his/her knowledge of engineering, data/computer sciences and analytics and learn soft skills in engaging different stake holders to deliver a project.","The Twin if successful can also support as a key validation tool to facilitate safe, low-cost testing of change orders and help run unit/plant close to optimal solutions. The twin model if desired can be tasked to connect with live plant data and used for monitoring and quality adherence tasks. The long-term objective would be to use the twin model that can be used for OPEX, CAPEX and Maintenance initiatives. 
The student will learn about Pharma Primary Manufacturing. The student will acquire knowledge on the interconnectivity across operational, engineering and quality functions to deliver the new technology solution for improving the reliability of equipment for plant operation. The student will be immersed in the site activities and understand how compliance to the Key Performance Indicators (KPIs) is critical to the site.
The student will be able to apply his/her knowledge of engineering, data/computer sciences and analytics and learn soft skills in engaging different stake holders to deliver a project.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Health Insights Singapore Project- Jul to Dec 2021,68245,Health Promotion Board (HPB),1,"Jul 1, 21","Dec 31, 21","Programme Scope:
Health Insights Singapore (hiSG) is a technology-enabled population health cohort studies to understand the health behaviours and lifestyles of Singapore residents.

HPB is looking for an intern to support the hiSG team. Through the internship, the student will:
1. Gain practical knowledge of implementing technology-enabled cohort study, including assisting in the development and enhancement of the study’s mobile application, engaging and managing participants.
2. Develop skills and gain experience on the full cycle of developing and testing hypotheses, preparing data and conducting basic analyses on big data


Job Role/ Function:

The intern will:
• Support the recruitment, enrolment and onboarding of participants into the study
• Assist in the development and enhancement of the study mobile app
• Implement and enhance participant engagement strategies to increase use of the study’s mobile app and wearable
• Support preparation of big data collected via mobile application and wearable
• Conduct simple analytics and visualizations to test hypotheses and communicate findings
• Oversee project development, timelines and liaise with stakeholders to understand needs and address key challenges","1. Gain practical knowledge of implementing technology-enabled cohort study, including assisting in the development and enhancement of the study’s mobile application, engaging and managing participants.
2. Develop skills and gain experience on the full cycle of developing and testing hypotheses, preparing data and conducting basic analyses on big data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,Industrial Internet of Things_NPAMT,68461,GlaxoSmithKline / Glaxo Wellcome Manufacturing Pte Ltd,1,"Jul 5, 21","Dec 31, 21","In alignment with the automation, digitalisation, data and analytics strategy, an opportunity exists to incorporate wireless sensors and monitoring into site facilities to increase capability of the site from preventative maintenance to predictive maintenance capability enhancing reliability of critical assets.

Project scope
The scope of the project will be conducted as follows:
• Identification of wireless instruments for deployment
• Procure and install wireless instruments
• Deployment of the instruments and monitoring application
• Data collection and evaluation of the technology
• Proof of value for the trial asset
• Business case for wider deployment

Project deliverables
• Study, design and generate proposal including scope of study, cost estimates and schedule to secure funding for the feasibility study
• Complete necessary design, safety and work flow review
• Raise all necessary change control to execute the feasibility study
• Generate all test documents for the implementation of the change
• Generate all necessary procedure for the new process & work flow

Student will be responsible for assisting the Engineer and Manager by working with function representatives to meet the deliverables.

Learning outcome
The student will learn about Pharma Primary Manufacturing. The student will acquire knowledge on the interconnectivity across operational, engineering and quality functions to deliver the new technology solution for improving the reliability of equipment for plant operation. The student will be immersed in the site activities and understand how compliance to the Key Performance Indicators (KPIs) is critical to the site.
The student will be able to apply his/her knowledge of engineering, data sciences and analytics and learn soft skills in engaging different stake holders to deliver a project.","
The student will learn about Pharma Primary Manufacturing. The student will acquire knowledge on the interconnectivity across operational, engineering and quality functions to deliver the new technology solution for improving the reliability of equipment for plant operation. The student will be immersed in the site activities and understand how compliance to the Key Performance Indicators (KPIs) is critical to the site.
The student will be able to apply his/her knowledge of engineering, data sciences and analytics and learn soft skills in engaging different stake holders to deliver a project.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Paperless Solution_NPAMT,68468,GlaxoSmithKline / Glaxo Wellcome Manufacturing Pte Ltd,1,"Jul 5, 21","Dec 31, 21","In alignment with the automation, digitalisation, data and analytics strategy, an opportunity exists develop and deploy paperless solution to support the new SG9 manufacturing and laboratory facilities.

Project scope
The scope of the project will be conducted as follows:
• Define and document process workflow requirements 
• Configuration of documents in the digital platform
• Testing and commissioning of digital documents

Project deliverables

• Understand and document requirements of process workflow for manufacturing and laboratory
• Design and develop paperless solution using Kneat solution for the process workflow
• Generate test documents and facilitate user acceptance testing (UAT)
• Generate procedure and instruction for the new process and work flow

Student will be responsible for assisting the manufacturing and laboratory subject matter experts together with Tech team to meet the deliverables.

Learning outcome

The student will learn about Pharma Primary Manufacturing. The student will acquire knowledge on manufacturing and laboratory operational business process in the manufacturing and laboratory in GSK.",The student will learn about Pharma Primary Manufacturing. The student will acquire knowledge on manufacturing and laboratory operational business process in the manufacturing and laboratory in GSK.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,STEM @ OCBC Internship Programme 2021 - Analytics,68919,OCBC Bank,14,"May 17, 21","Nov 12, 21","WHAT YOU WILL EXPERIENCE

STEM@OCBC offers two tracks: Coding or Analytics and you will experience two business attachments in any of the tracks.  

Track: Analytics  

In this track, you will perform data analysis, apply data science, programming theories and concepts using real banking data to facilitate daily job function as well as drive business insights.

  

WHAT YOU NEED TO KNOW

By joining STEM@OCBC, you will:

    Experience two business attachments in one internship period
    Be mentored by your direct manager and have the opportunity to work on departments’ projects
    Be able to fulfil your graduation requirements through this credit-based internship
    Apply theoretical learning to real world banking projects

 
Qualifications
Who should apply?

We seek undergraduates in a tertiary institution from a Science, Technology, Engineering or Mathematics faculty

Other qualities that will put you in strong standing for the programme include:

    Self-motivated team player who is able to problem solve, code and design
    Adaptable, creative and possess good interpersonal skills","STEM@OCBC offers two tracks: Coding or Analytics and you will experience two business attachments in any of the tracks.  

Track: Analytics  

In this track, you will perform data analysis, apply data science, programming theories and concepts using real banking data to facilitate daily job function as well as drive business insights.

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Junior Data Scientist,69003,Rio Tinto,2,"May 31, 21","Nov 12, 21","This role is a great opportunity to be involved in the delivery of analytics proof of concept and play an active role in the execution of the data science projects.

As part of the data science team, you will:

Support the data scientists to code algorithm using machine learning approaches and other statistical approaches to support project such as predictions of sales, prices, etc.
Work with the Data Engineer to construct appropriate data model and data feeds and analysing the data.
Help design visualisation that includes graphs and relevant information based on the results of the analytics. Those visualisation will be delivered to the business users.
 
What you will need for this role

Relevant Course: Data Science & Analytics / Mathematics / Statistics / Computer Science / Computer Engineering or any relevant courses 
Ability to code in Python
Experience with developing dashboard in Tableau.
Ability to filter, analyse and validate complex and dynamic material and synthesise into articulate requirements 
Understanding of sophisticate data analysis techniques across various data types.
Ability to collaborate within a team and with stakeholders.
Detail oriented
Ability to work independently with urgency and deadlines
Good organisational skills for multi-tasking and prioritising workloads
 
It will also be beneficial if you have:

Knowledge of data sciences techniques and processes and strong interest in data science
Knowledge of SQL query and other relevant experience with database querying.
Knowledge of collaboration tools for development and coding","    Able to support Data Scientist to code algorithm using machine learning approaches and other statistical approaches to support project.
    Learn how to construct appropriate data model and data feeds and analysing the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
