Timestamp,Age (in years),Major/Degree,Gender,"Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Compensation (pay/salary)]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Work-life balance]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Career progression]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Ease of commute]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Benefits]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Working environment]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Flexibility]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Variety of tasks]",Please select all the technical skills which you believe you currently possess,Please select all the soft skills which you believe you currently possess
10/17/2022 18:16:56,23,Data Science and Analytics,Male,1,2,5,7,8,4,6,3,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R",Data storytelling
10/17/2022 18:21:36,21,Data Science and Analytics,Female,1,2,7,6,4,3,5,8,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Python, R, Tableau, PowerBI, Microsoft Office, Big Data Analytics","Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 18:25:16,20,Data Science and Analytics,Female,1,1,1,2,1,2,2,2,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Python, R, Tableau, PowerBI, Microsoft Office","Teamwork, Data storytelling, Interpersonal skills, Problem-solving, Curiosity"
10/17/2022 18:27:42,21,Data Science and Analytics,Female,1,3,2,2,4,3,4,5,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Machine Learning Operations (MLOps), Python, R, Microsoft Office","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 18:30:29,23,Data Science and Analytics,Male,1,3,2,7,4,6,5,8,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Machine Learning Operations (MLOps), Python, R, Tableau, Microsoft Office","Presentation skills, Teamwork, Communication, Interpersonal skills, Adaptability, Problem-solving"
10/17/2022 18:30:57,23,Data Science and Analytics,Male,4,1,3,7,6,2,5,8,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Tableau, PowerBI, Microsoft Office, Big Data Analytics","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 18:33:14,21,Data Science and Analytics,Female,7,6,8,5,4,3,2,1,"Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R","Teamwork, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 18:46:23,20,Data Science and Analytics,Female,6,5,3,1,4,7,8,2,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R","Presentation skills, Teamwork, Adaptability, Problem-solving, Curiosity"
10/17/2022 18:58:51,24,Data Science and Analytics,Male,1,3,5,4,6,7,8,2,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Python, R, Tableau, PowerBI","Teamwork, Communication, Data storytelling, Interpersonal skills"
10/17/2022 22:55:36,18,Quantitative Finance (will switch to DSA),Male,1,4,2,8,3,6,7,5,"Data Visualisation/Exploratory Data Analysis, Python, Microsoft Office","Presentation skills, Teamwork, Communication, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 22:56:44,23,Data Science and Analytics,Male,4,2,3,5,6,1,7,8,"Data Visualisation/Exploratory Data Analysis, Microsoft Office","Teamwork, Interpersonal skills, Problem-solving, Curiosity"
10/17/2022 22:57:26,24,Business Analytics,Male,1,2,4,5,3,8,6,7,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Tableau, Microsoft Office, Big Data Analytics","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Business acumen, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:01:16,19,Applied Mathematics,Male,3,7,5,1,2,4,6,8,"Data Visualisation/Exploratory Data Analysis, Python, Microsoft Office","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:06:29,20,Data Science and Analytics,Female,1,4,2,8,7,5,3,6,"Data Visualisation/Exploratory Data Analysis, Python, R","Presentation skills, Teamwork, Communication, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:09:39,20,life sciences,Female,1,2,7,4,5,6,3,8,"R, Microsoft Office","Presentation skills, Teamwork, Communication, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:10:53,23,Business Analytics,Female,2,1,6,8,7,3,4,5,"Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Tableau, PowerBI, Microsoft Office","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:11:04,22,Data Science and Analytics,Male,3,3,3,3,3,3,3,3,Deep Learning,Adaptability
10/17/2022 23:18:35,22,Statistics,Male,3,1,2,7,4,5,6,8,"Python, R","Teamwork, Communication, Interpersonal skills, Adaptability, Curiosity"
10/17/2022 23:19:43,23,Data Science and Analytics,Male,1,2,2,5,4,2,3,4,"Machine Learning, Database Management (e.g Azure/SQL), Python, R","Presentation skills, Teamwork, Communication, Interpersonal skills, Problem-solving, Curiosity"
10/17/2022 23:21:43,22,Data Science and Analytics,Male,8,7,7,4,6,6,3,7,"Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Business acumen, Adaptability, Problem-solving"
10/17/2022 23:31:16,24,Statistics,Male,1,3,2,3,3,3,2,3,"Machine Learning, Cloud Computing (e.g AWS/Google Cloud Platform), Database Management (e.g Azure/SQL), Machine Learning Operations (MLOps), Python, Deep Learning","Adaptability, Problem-solving, Curiosity"
10/17/2022 23:38:45,22,Data Science and Analytics,Male,1,1,3,2,2,1,2,2,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Tableau, PowerBI, Microsoft Office","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
